"feature.feature","feature.group","feature.avgExpr","feature.logFC","feature.statistic","feature.auc","feature.pval","feature.padj","feature.pct_in","feature.pct_out"
"H2-Aa","7",0.703449910027549,0.498174811560916,4209363317,0.596264081878206,0,0,27.5983370642789,8.96654212520735
"H2-Ab1","7",1.18792629932826,0.760143550044297,4507660337.48828,0.638518405312376,0,0,43.133994243684,17.4325560381199
"H2-DMb1","7",0.665574847900137,0.531442289627039,4243767931.5,0.601137559012947,0,0,25.8010873041254,6.19392589081841
"H2-DMb2","7",1.11806700487906,1.01694413240646,4847008380,0.686587681772367,0,0,41.0617204988807,4.68769032806745
"H2-Eb1","7",1.15481744228307,0.811889272408567,4574830621.23828,0.64803319996266,0,0,42.0658778381836,13.8721615510173
"Ighd","7",1.01866140027022,0.662307111385052,4380421723.21094,0.620494820791854,0,0,37.4544291653342,16.4527609889197
"Ighm","7",2.27976364397072,2.19143689717859,5936559561,0.840924617235873,0,0,70.2206587783818,3.84122182037238
"Igkc","7",3.18847387641534,3.0676870926213,6469784862.5,0.916456965215692,0,0,85.270227054685,4.89365990215338
"Ms4a1","7",0.713745938429769,0.633742524679099,4388890280.5,0.621694407559858,0,0,27.6878797569555,3.83413469524255
"Ptprc","7",0.639807531842431,0.433036715314852,4124999353,0.584313770691022,0,0,25.4301247201791,9.12290182338441
"Ptprcap","7",0.57154480848618,0.443367387196289,4144795598,0.587117945327574,0,0,22.7758234729773,5.63559331418333
"Syk","7",0.561430359484885,0.471152139577168,4187524115.5,0.593170518683326,0,0,22.5647585545251,4.27619412521621
"B2m","8",1.92964120328419,0.571960231309214,3519429850.40625,0.608339011576528,0,0,68.0779200377032,50.2148859992914
"Cd44","8",1.17605209659565,0.804325374673936,3850941539.17188,0.665641330884432,0,0,47.8909747859555,17.2467745094372
"Cd9","8",1.29634137185814,0.68711691038875,3645596559.59766,0.630147126647924,0,0,47.6867488806849,26.596351009073
"Cotl1","8",1.06837063947617,0.850907487992545,3898486212.5,0.673859502806461,0,0,43.6336501453146,9.39424814106556
